"","t_F","T_F","t_T","T_T","t_S","T_S","t_T2","T_T2","T_H","P_ppc","N0","logN"
"1.14",1.47674297774211,4.24021398928016,5.89311026458951,3.78641606478813,2.81452448690224,2.29718021005646,0.024361347652076,8.73450947539467,3.84724405297098,0.908688733412419,203.079435511646,6.43325862389428
"2.14",1.15326426783577,3.75845713401213,2.27670947565924,6.91364643698912,1.17434982744594,3.58496363435814,0.0368577945163582,7.31656188238765,4.86805401947723,0.908688733412419,4.09094062726656,7.00074028207916
"3.14",1.32435000711121,4.3877553762868,4.93371204088975,6.81882759251631,1.41226155940605,3.97920815356686,0.0140550741310028,9.03219973541752,8.48152080730995,0.908688733412419,40.4028651786379,7.39690924303823
"4.14",1.373825392453,4.19839913561009,6.30333341166849,6.73824195595386,1.25820559334085,3.60071797151764,0.0442746682244285,7.89459582517714,3.72827689516483,0.908688733412419,1.35312779027786,8.20714963881764
"5.14",1.15652631875128,4.18953780876473,2.38262877920847,2.2962023516536,3.47805622518701,1.13107990951125,0.0721556250593606,8.57284053157457,3.59076132051149,0.908688733412419,2.53454619340453,3.76129337209582
"6.14",1.3314179754816,3.61960678361356,4.58978046513482,6.98772073088453,2.92931639273072,1.18975966898054,0.0315038085653133,9.4965116594269,8.51989215698899,0.908688733412419,3.3466892470353,7.73033576816547
"7.14",1.83045075484551,3.56928792176768,7.04004221936504,3.09892122376034,6.91475053656758,-0.314249819774185,0.052044141377253,9.13969724966446,2.68382854351778,0.908688733412419,24.2707736533868,7.72111753076278
"8.14",1.55613577412441,4.05972448387183,4.41242246932732,5.96498512667138,0.920150918659979,1.19892895252614,0.024563827087401,9.04475570253563,3.02891496198809,0.908688733412419,1.33226009687649,4.16125115158161
"9.14",1.49443970061839,3.89285279531032,4.64380673431612,6.19354551308975,4.18029226125597,2.0691229646546,0.0303030955472972,6.84349940870266,4.57469951670483,0.908688733412419,3.13401217285069,7.62642824776265
"10.14",1.37352541601285,4.22547126491554,3.2475740665083,4.28744337027066,2.89941958125441,4.77229654742343,0.032971119108539,7.26768246935973,2.38774154457608,0.908688733412419,108.762964444567,7.41348539318983
"11.14",1.98343176255003,4.19027627562173,5.46705079646017,7.30398420222644,6.54249422887726,0.155886432768015,0.0598325015604064,9.13953275570882,5.43743232439017,0.908688733412419,8.17537530717418,6.12398313391439
"12.14",1.64896309096366,4.01918727089651,5.85716767640812,5.075154108766,0.771108965560112,1.55068856772949,0.0343188224382279,8.62132884454564,3.42024892534251,0.908688733412419,0.244932761138071,3.86088494153985
"13.14",1.83566199149936,4.12048039608635,3.10970247627434,2.9739820645681,0.381508549386584,4.26189074795111,0.0133844511682949,8.22389111961883,5.45109776546995,0.908688733412419,4.61588068733632,6.31474465695428
"14.14",1.40827582520433,3.9224003625568,4.83909091161688,5.79731847235376,0.495631229236572,0.349371393576502,0.0168844987762804,7.12169286306517,10.5896884475174,0.908688733412419,0.860184152101157,7.71228385928586
"15.14",1.51305489009246,4.40938701946288,2.45323904708961,4.15374638190726,3.11645606822983,2.64715847263281,0.0247302079705135,9.15948133543125,6.0907261146912,0.908688733412419,0.0303068877198511,7.49111744297775
"16.14",1.73146068304777,3.66013661189936,5.95838808457734,7.09055330315087,7.3893278197614,1.58027377870616,0.0144031834281691,8.40530374573301,4.4117682898988,0.908688733412419,1.32438066941272,7.10333150359152
"17.14",1.19645159854554,3.71432125288993,6.17558828105636,6.70433027836107,5.24324096343913,-0.382899474793327,0.0553041263549668,8.15281155544421,4.68734010455547,0.908688733412419,0.873798526219606,5.17210168613301
"18.14",1.45878482074477,3.68069702433422,4.65888803593367,5.95996067261737,3.51696670044044,0.417178122684772,0.046913906225654,8.98864386815746,3.41995444953159,0.908688733412419,50.6845723205871,6.10009096143277
"19.14",1.75914340745658,3.86971446080133,4.38085444010369,4.83015958006032,2.62886828222955,3.38140969222046,0.0367378901238654,8.63019361299526,5.91548868535114,0.908688733412419,15.5072191983692,7.7319388137655
"20.14",1.34414244932123,3.63450097595342,7.68129155440715,5.58594334777443,1.3369380119315,3.63675223563635,0.0552966594814175,8.93048148220921,5.28222164756999,0.908688733412419,0.0345793632642319,6.66603179328067
"21.14",1.76679611997679,3.6216850746423,7.68459105837795,2.85650606213272,7.37983935255872,4.54442410037365,0.0656869809774038,6.88455648570224,6.28674001811489,0.908688733412419,8.22188879657815,5.65084397749324
"22.14",1.67328611575067,4.04433666495606,6.87435588787861,8.71152977490332,3.33162252479799,4.10266329263422,0.0277694167277457,9.25252552038958,4.29616534170003,0.908688733412419,9.95244598854453,6.600948777819
"23.14",1.43822905025445,3.52123316377401,5.973939161207,3.86850637526333,2.43264300841999,2.06268579431642,0.0478558488192458,8.51615760425397,3.62492136420659,0.908688733412419,0.0118162234592272,8.14608420068559
"24.14",1.83474864833988,3.69682799302973,7.73322099343157,4.91939504495972,2.575584695427,-1.29377129130802,0.069251642390654,7.19354159089441,5.05211820967885,0.908688733412419,0.97736266549047,6.01614181092826
"25.14",1.23044335492887,4.47283444041386,5.30600335151667,6.96714611598214,6.0437962097085,0.960577744380306,0.0509931824038025,9.61746803773674,2.91108207769504,0.908688733412419,5.29796417209287,5.58004023616501
"26.14",1.09285725024529,3.94633016549051,6.09338637986418,3.64336865640705,0.71697970705628,3.0547340078532,0.0618206874723716,7.74111288329676,1.43605684952437,0.908688733412419,0.0442394347329273,7.6724072710906
"27.14",1.79501600610092,4.1350961914286,6.49085911484265,2.40416159252397,4.34382346130075,4.40486804951936,0.044901161343354,9.1111501370312,4.2997880901218,0.908688733412419,0.00464045178371381,4.24811859934912
"28.14",1.79839319270104,3.53764200326987,7.16399156791159,7.05172435382409,0.252907986646865,2.35426444841386,0.0483277460374333,7.71504666964472,2.65355203706905,0.908688733412419,2.75573293795663,8.1613386269302
"29.14",1.67650743201375,4.25799988140352,5.67236156597083,5.95468570308957,0.226181854023213,1.22872617161392,0.0417715015403806,9.77746321713906,4.47515443209838,0.908688733412419,7.43805270675009,6.5871547663921
"30.14",1.52551768952981,4.06058489321731,4.88229414916601,6.0083625085733,4.97846592752941,0.877008442345934,0.0111258042833395,8.46981327543536,2.27688232012003,0.908688733412419,1.78110234104723,7.67617464280517
"31.14",1.44956055702642,3.89718100614846,2.7122852311498,4.83903955281317,2.1327179430996,-0.692033100066804,0.0553511665069131,7.45074607159423,4.13926518699681,0.908688733412419,1.44966040846416,8.22078238701695
"32.14",1.26288566994481,3.74154390720651,3.81418170272061,6.21111601590839,2.7796861932978,1.12462919065228,0.0300380730354649,7.88580358411137,-0.00690581515288535,0.908688733412419,2.10956032662341,8.13152050258872
"33.14",1.4478676347062,3.82037908583879,5.78660085637427,8.31352964165592,2.3397935416402,4.07526063882411,0.020827644753059,7.53048143271371,4.62114232693375,0.908688733412419,3.95017480536103,7.79152645916531
"34.14",1.21337388711981,3.52212066669017,5.34847555998485,7.05305326526727,3.50986510679358,0.494095390144461,0.0538758125934515,8.1537138666271,5.08011815012243,0.908688733412419,0.450667792923539,6.43935145979706
"35.14",1.70767414500006,4.37955796113238,4.42471769930531,5.31663523891577,4.86570267741272,2.0000548283398,0.0705563228894565,7.36482440466796,7.4409553270815,0.908688733412419,0.0775585295489888,8.13735235003322
"36.14",1.95328643033281,3.66262880922295,5.37423500243741,2.61935157497037,3.83260438839456,-0.375920139226817,0.0299482430484979,8.93926900186476,2.57887612703267,0.908688733412419,0.436546917823992,3.48456875773302
"37.14",1.49958252464421,3.8838066724129,3.11250654663427,4.05375046256609,2.56020161017272,1.70127367451805,0.0283850681276027,8.6857494089044,5.41316709226884,0.908688733412419,4.39671190384386,5.0558942085202
"38.14",1.28853023354895,4.10044093383476,4.37487173705955,3.707109320096,5.44439724057012,-0.32505290460321,0.0704281895638084,8.59503322194329,3.13158881346176,0.908688733412419,3.68080112041795,3.52222446184638
"39.14",1.83737819711678,3.80943308887072,6.57919382176322,6.21343122586327,4.96800487934242,3.69173580277053,0.0845836876952002,9.56716860327433,6.1917952336928,0.908688733412419,0.689740612314343,4.61049305475269
"40.14",1.10901010106318,4.22448624973185,5.7033096060528,3.84629704843847,4.27537852449844,4.67416490485359,0.0618428870686635,8.44942794248385,4.60949821808168,0.908688733412419,0.196547186506619,4.41782041400203
"41.14",1.4783208956942,4.48342871130444,5.98518152238629,5.11653631618212,5.37621733062782,1.23958513176761,0.0145564674763349,8.04241191550485,5.88748233079822,0.908688733412419,0.294294871348112,8.12256876403248
"42.14",1.9310442332644,3.95420160656795,2.6397860510754,5.55896382806979,3.57442027891406,4.43254664464494,0.0443944170265068,8.45067734308803,6.35739806279197,0.908688733412419,152.923801569825,8.25100317376778
"43.14",1.46578003908508,3.54573802417144,4.09188083515403,2.5412788846183,2.5702326644671,1.75179403687535,0.0658047892218574,7.06476641706406,3.7396967366559,0.908688733412419,9.14114692118667,4.18344674964871
"44.14",1.3284556355793,3.9728400609456,3.34979268379243,4.95959504013615,0.727658885199897,1.25661500707733,0.0904541291363498,7.6621731223095,7.61695652150745,0.908688733412419,3.54225470653707,7.75549946699982
"45.14",1.26387958950363,4.08170166006312,7.15347872867327,4.09906039540991,4.40692401723586,3.46182036270248,0.0483609438872997,9.49200695743808,3.85512968201523,0.908688733412419,242.331363055885,7.10026976239094
"46.14",1.35233629029244,4.32004099083133,7.73531072435645,4.92924169868774,1.02129237200846,0.880869399431364,0.074440667940752,9.84024533391525,5.10509652591596,0.908688733412419,1.72487551598626,8.01873498660816
"47.14",1.7763415556401,3.66284122178331,3.19356720946872,3.02198015807538,0.373719620584842,1.71834914838336,0.053405974708241,9.46679227652486,4.85160410601479,0.908688733412419,154.170919439358,7.9696386969694
"48.14",1.76427367702127,4.07270704978146,2.85376880195914,3.50267048169554,1.16210177288112,2.0714972741708,0.0622054353452885,6.9951244663293,3.8425987905352,0.908688733412419,16.3474988041163,5.03916719394428
